type,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge,Truck,Car,Cyclist,Pedestrian,mAP
AutoSnow_ice_buildup_clear,0.027229733,0.061707835,0.021518201,0.002754744,0.010370669,0.082736725,0.042855625,0.050577404,0.050577404,0.002563625,0.022399028,0.156872586,0.036650427,0.090571843,0.019802029,0.086603761,0.058407015
AutoSnow_ice_buildup_heavy,0.0072211,0.014442885,0.005935798,0.001485149,0.006036088,0.010986645,0.006519629,0.007934714,0.007934714,0.000760397,0.00601015,0.016258325,6.77E-05,0.03957977,0,0.005621402,0.011317214
AutoSnow_ice_buildup_light,0.071602569,0.128811021,0.070718429,0.005508902,0.047083273,0.17063093,0.05439926,0.089535173,0.089535173,0.005714154,0.054705804,0.223266758,0.023575035,0.314517963,0.046627084,0.118695304,0.125853846
AutoSnow_white_out_snow,0.004290429,0.007425743,0.002475248,0.001091859,0.004290429,0.002722772,0.001080556,0.001080556,0.001080556,0.000341403,0.001483406,0.001206628,0,0.001925258,0.005849754,0.001481481,0.002314123
AutoSnow_fine_snow_heavy,0.010669539,0.021627819,0.010033356,0.004970975,0.012506758,0.014594513,0.009628353,0.011270662,0.011270662,0.005291744,0.011806487,0.016027765,0.003115265,0.044655164,0.002244971,0.02717891,0.019298577
AutoSnow_fine_snow_med,0.170293415,0.31781973,0.163426259,0.107868632,0.184836669,0.222691596,0.136431087,0.218772451,0.21916683,0.123741183,0.222838003,0.28354205,0.281022247,0.604793016,0.117825038,0.273944704,0.319396251
AutoSnow_fluffy_snow,0.42976442,0.724795066,0.454073655,0.255536987,0.430575995,0.583420979,0.311260442,0.481848683,0.484348807,0.296577448,0.487741231,0.648128365,0.829429671,0.840289604,0.659750567,0.589227669,0.729674378
AutoSnow_streaking_snow,0.182177432,0.324195084,0.181995574,0.084897262,0.179739963,0.279547121,0.134119024,0.216815319,0.216969415,0.098438976,0.215450562,0.326270735,0.266572264,0.545367188,0.208595849,0.275008385,0.323885922
AutoSnow_mixed,0.108920196,0.195178487,0.10790652,0.052851832,0.10507963,0.168146117,0.083983491,0.133500523,0.133854766,0.059498231,0.125951434,0.207645753,0.163279979,0.324182955,0.084159171,0.195948447,0.191892638
labels,0.468769154,0.781287005,0.505069515,0.282236637,0.47037746,0.623594817,0.331751162,0.51776264,0.520592084,0.322831694,0.52762042,0.681887232,0.914624263,0.868802963,0.711484223,0.655588823,0.787625068
labels,0.020944258,0.046392195,0.014078075,0.00263361,0.024184332,0.081447085,0.011978555,0.026369495,0.026369495,0.002154047,0.029641736,0.111803293,0.180494656,0.00042328,1.49E-06,0,0.045229856
